,reportedDateTime,centerLong,centerLat,offense,cluster_no
195,2021/01/13 11:34:00+00,-93.28601271,44.96798370000001,BIKETF  ,70
196,2021/01/13 13:44:00+00,-93.2880931,44.94920528,CSCR    ,257
197,2021/01/13 13:13:00+00,-93.29705,45.03545,TFMV    ,43
198,2021/01/13 12:57:00+00,-93.24741,44.94656,ROBPAG  ,69
199,2021/01/13 13:29:00+00,-93.27125498,44.97251895,AUTOTH  ,265
200,2021/01/13 13:00:00+00,-93.31337152,45.02137316,AUTOTH  ,199
201,2021/01/13 14:32:00+00,-93.29087,44.98724,DASLT2  ,459
202,2021/01/13 14:17:00+00,-93.29766623,44.98068679,AUTOTH  ,291
203,2021/01/13 15:42:00+00,-93.26034927,45.0140515,BURGB   ,284
204,2021/01/13 15:37:00+00,-93.26765722,44.96331735,AUTOTH  ,153
205,2021/01/14 10:26:00+00,-93.25066,44.98513,TFMV    ,319
206,2021/01/13 18:31:00+00,-93.30825,45.01685,CSCR    ,99
207,2021/01/13 17:59:00+00,-93.27299012,44.98655449,BURGD   ,108
208,2021/01/13 16:46:00+00,-93.29433053,45.01583896,DASLT2  ,322
209,2021/01/13 19:11:00+00,-93.30086095,44.94566381,ROBBIZ  ,290
210,2021/01/13 17:09:00+00,-93.2779272,44.9474943,THEFT   ,285
211,2021/01/13 19:21:00+00,-93.26583963,44.97352012,TFMV    ,289
212,2021/01/13 17:23:00+00,-93.28799,45.0048,AUTOTH  ,33
213,2021/01/13 17:15:00+00,-93.27771387,44.97050597,THEFT   ,5
214,2021/01/13 17:34:00+00,-93.23807829,44.94475963,AUTOTH  ,353
215,2021/01/13 18:34:00+00,-93.30132342,44.99149664,ASLT2   ,254
216,2021/01/13 18:09:00+00,-93.24480083,44.92962332,AUTOTH  ,96
217,2021/01/13 18:21:00+00,-93.27028239,44.94582064,ASLT2   ,288
218,2021/01/13 19:47:00+00,-93.26136643,44.95195537,THEFT   ,174
219,2021/01/13 19:43:00+00,-93.2708505,44.96268897,AUTOTH  ,44
220,2021/01/13 21:25:00+00,-93.30894632,44.92894054,TFMV    ,332
221,2021/01/13 22:27:00+00,-93.26967792,44.97774511,TFMV    ,26
222,2021/01/13 22:28:00+00,-93.26967792,44.97774511,TFMV    ,26
223,2021/01/14 01:16:00+00,-93.24557297,44.98309944,ROBPAG  ,93
224,2021/01/14 00:27:00+00,-93.222961,44.93868815,CARJCK  ,423
225,2021/01/14 10:41:00+00,-93.27157562,44.94921413,BURGB   ,288
226,2021/01/14 10:12:00+00,-93.30494979,44.95066635,BURGD   ,104
227,2021/01/14 12:23:00+00,-93.23514707,44.94837171,SHOPLF  ,233
228,2021/01/14 17:00:00+00,-93.31598,45.0241,ASLT2   ,424
229,2021/01/15 15:07:00+00,-93.20420548,44.93971597,BURGD   ,279
230,2021/01/15 13:45:00+00,-93.23466144,44.92780447,TFMV    ,234
231,2021/01/16 11:36:00+00,-93.2808366,44.96932761,TFMV    ,317
232,2021/01/15 15:03:00+00,-93.24487203,44.94795139,BURGD   ,69
233,2021/01/15 15:03:00+00,-93.22896588,44.9323159,AUTOTH  ,173
234,2021/01/15 23:33:00+00,-93.2524401,44.94044957,ROBPAG  ,389
235,2021/01/16 21:25:00+00,-93.27968211,44.94954085,BURGD   ,370
236,2021/01/16 03:57:00+00,-93.25482,44.96273,DASLT2  ,299
237,2021/01/16 03:27:00+00,-93.28801715,44.96002038,THEFT   ,324
238,2021/01/16 07:23:00+00,-93.26577672,45.03192219,AUTOTH  ,378
239,2021/01/16 05:57:00+00,-93.26255,44.9627,ASLT2   ,203
240,2021/01/16 10:10:00+00,-93.27754595,44.89561447,AUTOTH  ,45
241,2021/01/16 07:40:00+00,-93.28493554,45.01398311,BURGD   ,374
242,2021/01/16 08:30:00+00,-93.22194877,44.93145833,TMVP    ,426
243,2021/01/16 14:10:00+00,-93.32362741,44.96649752,ASLT2   ,107
244,2021/01/16 10:51:00+00,-93.29870156,45.00088832,AUTOTH  ,57
245,2021/01/16 11:28:00+00,-93.23514707,44.94837171,THEFT   ,233
246,2021/01/16 13:20:00+00,-93.29187846,45.02667766,ASLT2   ,476
247,2021/01/16 12:09:00+00,-93.30446639,44.99059751,CSCR    ,278
248,2021/01/16 12:43:00+00,-93.23846807,44.98285766,AUTOTH  ,197
249,2021/01/16 13:27:00+00,-93.20370625,44.92519188,TFMV    ,175
250,2021/01/16 13:28:00+00,-93.23972,44.93412,ASLT3   ,55
251,2021/01/16 13:40:00+00,-93.2308431,44.93141021,ASLT3   ,463
252,2021/01/16 13:57:00+00,-93.22883412,45.00363907,THEFT   ,84
253,2021/01/16 17:16:00+00,-93.25493142,44.92603193,AUTOTH  ,213
254,2021/01/16 17:30:00+00,-93.27342211,44.97543284,ROBPER  ,457
255,2021/01/16 19:55:00+00,-93.22171,44.99697000000001,TMVP    ,154
256,2021/01/16 21:30:00+00,-93.28824772,44.93316285,ASLT2   ,119
257,2021/01/16 22:26:00+00,-93.25808,44.99813,ASLT2   ,72
258,2021/01/17 01:16:00+00,-93.30189311,45.00066415,THEFT   ,302
259,2021/01/17 00:32:00+00,-93.29438258,44.95912149,BURGD   ,18
260,2021/01/16 23:45:00+00,-93.281005,44.97579626,ROBPER  ,82
261,2021/01/17 01:49:00+00,-93.29187846,45.02667766,BURGD   ,476
262,2021/01/17 00:04:00+00,-93.25855,44.97779,BIKETF  ,179
263,2021/01/17 00:10:00+00,-93.23708765,44.96589283,AUTOTH  ,186
264,2021/01/17 00:30:00+00,-93.22821268,44.990518,AUTOTH  ,67
265,2021/01/17 01:31:00+00,-93.30725,45.03338,CARJCK  ,440
266,2021/01/17 06:14:00+00,-93.26729403,44.98337699,ROBPAG  ,264
267,2021/01/17 09:00:00+00,-93.30823595,45.01235203,THEFT   ,260
268,2021/01/10 20:18:00+00,-93.25493604,44.93684037,CARJCK  ,223
269,2021/01/10 22:00:00+00,-93.25495275,44.93864644,CARJCK  ,180
270,2021/01/13 13:00:00+00,-93.28558226,44.94382415,TMVP    ,301
271,2021/01/13 14:40:00+00,-93.30822122,44.99373720000001,TMVP    ,498
272,2021/01/13 23:18:00+00,-93.23037597,44.98596924,AUTOTH  ,50
273,2021/01/14 18:24:00+00,-93.2779277,44.9277774,AUTOTH  ,167
274,2021/01/14 22:03:00+00,-93.25745293,44.93143796,ARSON   ,46
